state,,year,month,precipitation
AM,3/31/1998,1998,Mar,210.8
AM,4/30/1998,1998,Apr,407.2
AM,5/31/1998,1998,May,273.4
AM,6/30/1998,1998,Jun,167.2
AM,7/31/1998,1998,Jul,92
AM,8/31/1998,1998,Aug,41.8
AM,9/30/1998,1998,Sep,115.6
AM,10/31/1998,1998,Oct,73.5
AM,11/30/1998,1998,Nov,153.6
AM,12/31/1998,1998,Dec,191
AM,1/31/1999,1999,Jan,411.6
AM,2/28/1999,1999,Feb,260.8
AM,3/31/1999,1999,Mar,233.2
AM,4/30/1999,1999,Apr,421.2
AM,5/31/1999,1999,May,445.4
AM,6/30/1999,1999,Jun,149.3
AM,7/31/1999,1999,Jul,25.3
AM,8/31/1999,1999,Aug,40.6
AM,9/30/1999,1999,Sep,98.8
AM,10/31/1999,1999,Oct,132.3
AM,11/30/1999,1999,Nov,203.5
AM,12/31/1999,1999,Dec,198.3
AM,1/31/2000,2000,Jan,350.2
AM,2/29/2000,2000,Feb,344.4
AM,3/31/2000,2000,Mar,340.7
AM,4/30/2000,2000,Apr,535.4
AM,5/31/2000,2000,May,172.6
AM,6/30/2000,2000,Jun,48.2
AM,7/31/2000,2000,Jul,40.8
AM,8/31/2000,2000,Aug,140
AM,9/30/2000,2000,Sep,218.1
AM,10/31/2000,2000,Oct,47.2
AM,11/30/2000,2000,Nov,169.7
AM,12/31/2000,2000,Dec,192.3
AM,1/31/2001,2001,Jan,348.4
AM,2/28/2001,2001,Feb,219.5
AM,3/31/2001,2001,Mar,216.8
AM,4/30/2001,2001,Apr,188.2
AM,5/31/2001,2001,May,231.6
AM,6/30/2001,2001,Jun,164.1
AM,7/31/2001,2001,Jul,30.6
AM,8/31/2001,2001,Aug,14.9
AM,9/30/2001,2001,Sep,88.2
AM,10/31/2001,2001,Oct,28.1
AM,11/30/2001,2001,Nov,55
AM,12/31/2001,2001,Dec,213
AM,1/31/2002,2002,Jan,380.8
AM,2/28/2002,2002,Feb,239.9
AM,3/31/2002,2002,Mar,195.3
AM,4/30/2002,2002,Apr,376.7
AM,5/31/2002,2002,May,262.9
AM,6/30/2002,2002,Jun,159.1
AM,7/31/2002,2002,Jul,3.4
AM,8/31/2002,2002,Aug,35.4
AM,9/30/2002,2002,Sep,60.1
AM,10/31/2002,2002,Oct,216.1
AM,11/30/2002,2002,Nov,81.2
AM,12/31/2002,2002,Dec,311.2
AM,1/31/2003,2003,Jan,105.8
AM,2/28/2003,2003,Feb,340.9
AM,3/31/2003,2003,Mar,209.2
AM,4/30/2003,2003,Apr,390.1
AM,5/31/2003,2003,May,219.6
AM,6/30/2003,2003,Jun,110.7
AM,7/31/2003,2003,Jul,93
